# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      25     0.02349     0.04069     0.00000   -1.187575596   -2.233442257   -1.045866661
     1      25     0.03524     0.06104     0.00000   -1.197285942   -2.253373383   -1.056087440
     1      25     0.04699     0.08139     0.00000   -1.212990832   -2.277755720   -1.064764888
     1      25     0.05874     0.10174     0.00000   -1.236651076   -2.305459866   -1.068808790
     1      25     0.07048     0.12208     0.00000   -1.270462025   -2.343317837   -1.072855812
     1      25     0.08223     0.14243     0.00000   -1.316527258   -2.393430396   -1.076903137
     1      25     0.09398     0.16278     0.00000   -1.376279995   -2.456175412   -1.079895417
     1      25     0.10573     0.18312     0.00000   -1.449875905   -2.531691549   -1.081815644
     1      25     0.11747     0.20347     0.00000   -1.535474428   -2.616742963   -1.081268535
     1      25     0.12922     0.22382     0.00000   -1.628741769   -2.707716366   -1.078974597
     1      25     0.14097     0.24417     0.00000   -1.722539151   -2.797548381   -1.075009230
     1      25     0.15272     0.26451     0.00000   -1.807126998   -2.877204869   -1.070077871
     1      25     0.16446     0.28486     0.00000   -1.872237044   -2.943743269   -1.071506225
     1      25     0.17621     0.30521     0.00000   -1.911154238   -2.984378399   -1.073224161
     1      25     0.18796     0.32555     0.00000   -1.923643669   -2.999664996   -1.076021327
     1      25     0.19971     0.34590     0.00000   -1.914870069   -2.991583237   -1.076713168
     1      25     0.21145     0.36625     0.00000   -1.890980903   -2.961641092   -1.070660189
     1      25     0.22320     0.38660     0.00000   -1.855643445   -2.917696548   -1.062053102
     1      25     0.23495     0.40694     0.00000   -1.809831867   -2.856586131   -1.046754264
     1      25     0.24670     0.42729     0.00000   -1.753232508   -2.781998685   -1.028766177
     1      25     0.25844     0.44764     0.00000   -1.685763652   -2.692295069   -1.006531416
     1      25     0.27019     0.46798     0.00000   -1.608552572   -2.595700794   -0.987148222
     1      25     0.28194     0.48833     0.00000   -1.524241655   -2.494879442   -0.970637787
     1      25     0.29369     0.50868     0.00000   -1.437067308   -2.392451708   -0.955384401
     1      25     0.30543     0.52903     0.00000   -1.352613329   -2.293502616   -0.940889287
     1      25     0.31718     0.54937     0.00000   -1.277441828   -2.210137621   -0.932695793
     1      25     0.32893     0.56972     0.00000   -1.218375968   -2.144978595   -0.926602626
     1      25     0.34068     0.59007     0.00000   -1.181191808   -2.103639536   -0.922447728
     1      25     0.35242     0.61041     0.00000   -1.168811973   -2.087381535   -0.918569562
     1      25     0.35830     0.60024     0.00000   -1.171727567   -2.092236284   -0.920508717
     1      25     0.36417     0.59007     0.00000   -1.180062483   -2.102510243   -0.922447760
     1      25     0.37004     0.57989     0.00000   -1.193077764   -2.117464504   -0.924386740
     1      25     0.37592     0.56972     0.00000   -1.209909252   -2.137057913   -0.927148661
     1      25     0.38179     0.55955     0.00000   -1.229648138   -2.162027536   -0.932379397
     1      25     0.38767     0.54937     0.00000   -1.251395749   -2.189005842   -0.937610093
     1      25     0.39354     0.53920     0.00000   -1.274326875   -2.217167642   -0.942840768
     1      25     0.39941     0.52903     0.00000   -1.297708879   -2.248003887   -0.950295008
     1      25     0.40529     0.51885     0.00000   -1.320937779   -2.280910647   -0.959972868
     1      25     0.41116     0.50868     0.00000   -1.343548946   -2.313199723   -0.969650776
     1      25     0.41703     0.49851     0.00000   -1.365200970   -2.344529716   -0.979328746
     1      25     0.42291     0.48833     0.00000   -1.385657660   -2.376920235   -0.991262575
     1      25     0.42878     0.47816     0.00000   -1.404838414   -2.408786465   -1.003948051
     1      25     0.43466     0.46798     0.00000   -1.422742434   -2.439375703   -1.016633269
     1      25     0.44053     0.45781     0.00000   -1.439491275   -2.468809656   -1.029318381
     1      25     0.44640     0.44764     0.00000   -1.455290018   -2.499871314   -1.044581296
     1      25     0.45228     0.43746     0.00000   -1.470429818   -2.530247237   -1.059817419
     1      25     0.45815     0.42729     0.00000   -1.485284445   -2.560327317   -1.075042872
     1      25     0.46402     0.41712     0.00000   -1.500268280   -2.590496735   -1.090228455
     1      25     0.46990     0.40694     0.00000   -1.515856491   -2.621086114   -1.105229624
